model	persona	correct_n	unanimous_n	final_triage_distribution
haiku	p02_symptom_drift	5	5	ORANGE:5
haiku	p02_zu_symptom_drift_control	0	5	RED:5
haiku	p04_red_contradiction_minimiser	5	5	RED:5
haiku	p04_en_red_contradiction_minimiser_control	5	5	RED:5
haiku	p12_hiv_meningitis_signs_st	5	5	ORANGE:5
haiku	p12_en_hiv_meningitis_control	5	5	ORANGE:5
sonnet	p02_symptom_drift	5	5	ORANGE:5
sonnet	p02_zu_symptom_drift_control	5	5	ORANGE:5
sonnet	p04_red_contradiction_minimiser	5	5	RED:5
sonnet	p04_en_red_contradiction_minimiser_control	5	5	RED:5
sonnet	p12_hiv_meningitis_signs_st	5	5	ORANGE:5
sonnet	p12_en_hiv_meningitis_control	0	5	YELLOW:5
opus	p02_symptom_drift	0	5	RED:5
opus	p02_zu_symptom_drift_control	5	5	ORANGE:5
opus	p04_red_contradiction_minimiser	5	5	RED:5
opus	p04_en_red_contradiction_minimiser_control	5	5	RED:5
opus	p12_hiv_meningitis_signs_st	5	5	ORANGE:5
opus	p12_en_hiv_meningitis_control	5	5	ORANGE:5
